Country,Year,"Death rates per 100,000",GDP per capita,Population,Continent,,
Russia,2015,68.1,23691,144985059,Europe,,
Rwanda,2000,326.5,1023.62,7933688,Africa,,
Rwanda,2005,205.1,1210.51,8840220,Africa,,
Rwanda,2010,191.6,1416.39,10039338,Africa,,
Rwanda,2015,191.7,1693,11369066,Africa,,
Saint Lucia,2000,63.6,7191.27,156737,North America,,
Saint Lucia,2005,51.4,8418.91,163408,North America,,
Saint Lucia,2010,37.3,10058.62,174092,North America,,
Saint Lucia,2015,37.4,10185,179131,North America,,
Sao Tome and Principe,2000,252,2218.82,142264,Africa,,
Sao Tome and Principe,2005,244.1,2532.87,157472,Africa,,
Sao Tome and Principe,2010,218.2,3093.35,180372,Africa,,
Sao Tome and Principe,2015,198,3545,199439,Africa,,
Saudi Arabia,2000,75.2,23904.52,20663840,Asia,,
Saudi Arabia,2005,70.5,32700.33,23816175,Asia,,
Saudi Arabia,2010,72.8,42737.65,27421468,Asia,,
Saudi Arabia,2015,67.3,51681,31717676,Asia,,
Senegal,2000,198.5,1983.52,9797731,Africa,,
Senegal,2005,181.6,2121.16,11090123,Africa,,
Senegal,2010,191.2,2151.32,12678143,Africa,,
Senegal,2015,196.3,2311,14578450,Africa,,
Serbia,2000,143.6,6059.58,9487612,Europe,,
Serbia,2005,113.1,9198.41,9193818,Europe,,
Serbia,2010,94.6,11963.56,8991258,Europe,,
Serbia,2015,81.9,12765,8876777,Europe,,
Seychelles,2000,58.3,14379.83,80998,Africa,,
